Asia-Afrika	아시아-아프리카
pol [2]	여론 조사
pola [1]	바띡도안, 디자인, 도안, 본, 모형
berpola	본을 사용하다, 무늬가 있다
memolakan	본 따서 만들다, (모형을)만들다
pola [2], kebisaan	방법, 방식, 습관, 체계 계통
pola dasar	원형(原型), 전형(典型)
polah [1], berpolah-polah	낭비하는, 사치스런, 낭비, 사치
polah [2]	행실, 태도
polan	이름을 모르는 사람을 부르는 호칭
si polan	모 씨, 모모 씨
Polandia	폴란드, 수도:
polang-poleng [polang-poléng]	반점이 있는, 점박이의
polang-paling [1]	소용돌이 치다, 핑핑 돌다, 선회하다
polang-paling [2]	회전 비행하다, 굴러 날다
polarimeter [polariméter]	편광계, 편광경
polarimetri [polarimétri]	편광 측정
polaris	북극성
polarisasi	평광, 광각
polaritas	양극성, 모순
podan	(이미) 지불(결제)된
polder	간척지
polemik [polémik]	논의법, 논쟁술, (신학상의) 논증법
polemis [polémis]	논쟁하는, 논박하는
polen	꽃가루(번식을 시키는 숫세포)
poleng [poléng]	(장기판 모양의) 상자형의
poleng-poleng	얼룩색의
polenter [polentér], polonter	지원자, 지원병, 독지가
poler [polér]	(지구의)극(極)과 관계가 있는
poles [polés]	광택, 윤, 광택제
memoles	광을 내다, 윤을 내다, 닦다
dipoles	윤이 나는, 광택이 나는, 닦은
mepolesi	광택제를 바르다
memoleskan	문지르다
pemoles	광택제(도구), 광내는 사람
polesan	광을 낸, 광, 광택
polet [polét]	(장교 정복의) 견장, 나무에 낸 표식
poli~	많다는 뜻의 연결형
poliandri	일부 다처제
poliantus	앵초의 교배종, 수선화의 일종
poliester [poliéster]	폴리에스텔
polafase	(전기의) 다상(多相)의
polifoni	다성 음악
poligam	일부 다처의
poligami	일부 다처제
berpoligami	일부 다처제를 이행하다
poliglot	수개 국어를 알고 있는
poligon	다각형
poligraf	다원 기록기
polihalin	사해
polikel, selaput	막, 원생 동물의 원형질 막
poliket [polikét]	다모류(多毛類)의 동물
poliklinik	종합진료소, 종합병원
polio	척수성 소아마비
polis	정책, 방침, 경영[관리]법
polisi	경찰, 경찰관, 순경
akademi kepolisian	경찰대학
kepolisian	경찰, 경찰업무
polisi air, Airut	수상경찰
polisi laut	해양경찰
polisi militer, PM	헌병
polisi peraian	해안(수상)경찰
polisi rasia	비밀경찰
polisi tidur	도로 상의 속도제한용 요철
powan, polisi wanita	여자경찰
polisilogisme	(논리의)연결 추리
polisindeton [polisindéton]	(문법)계사의 연용
polisional	경찰의, 경찰관의
polispermi	다정자(多精子), 수정
polister	폴리스터(플라스틱·화이바 제조용 중합체)
politbiro	공산당 중앙위원회 정치국
politeis [politéis]	다신교 신자
politeisme [politéisme]	다신교[론], 다신 숭배
politeistis [politéistis]	다신교의
politeknik	종합[과학] 기술의, 공예학교, 과학기술 전문학교polytechnic
politeknik [politéknik]	여러 공예의, 종합[과학] 기술의, 공예교육
politena [politéna]	폴리에틸렌
politik	정치, 정치의, 정치상의
berpolitik	정치에 참여하다, 정치를 수행하다
kepolitikan	정치적인 사무(일), 정치적인 행위(사건)
masalah politik	정사(政事)
memolitikkan, memperpolitikkan	정치에 가담하다, 정치하다
pemolitikan	정치
politik bahasa nasional	국어정책
politik buka keran	최대 공급정책
politik burung unta	아무런 문제가 없는 것 같이 행하는
politik dagang	교역정책(국내·외)
politik kancil	계략을 쓰다
politik pintu terbuka	개방정책
politikus, ahli politik	정치가, 정당[직업] 정치가
politis	정치의, 정치학의, 정당의, 당략의
politisasi	정치화[정당화]하다, 정치적으로 다루다
politisi	정치가, 정당[직업] 정치가
poliuretan [poliurétan]	폴리우레탄
polivini	비닐 중합체
polizoa	이끼벌레강(綱)
polka	폴카춤, 폴카곡
polkadot	물방울 무늬
polma	전권, 대리 위임장
Siapa memberikan polma kepadamu?	(누가 당신에게 전권을 주었습니까?)
polip	[의학] 폴립(외피·점막(粘膜) 등의 돌출한 종류(腫瘤polyp
polo	폴로(말 위에서 공치기 하는 경기)
polok, berpolok-polok, memolok	게걸스럽게 먹다
polones [polonés]	폴로네즈(폴란드의 춤)
polong [1], kacang kara	완두콩
polong [2], hantu	악령, 귀신
polong [3], polong angin	뽀로지, 여드름
polong [4], bunga lawang	육두구 나무의 꽃
polong [5], polongan	배수관, 하수관
polonium	풀로늄(방사성 원소의 일종)
polos [1], berwarna satu	무늬가 없는 오직 단색(單色)
piring polos	무늬가 없고 단색인 접시
bajunya polos	옷이 무늬가 없는 단색이다
polos [2]	겸손한(태도, 행동 등), 겸허한, 솔직한
kepolosan, kejujuran	겸손, 겸양, 순진, 성실함
polosiklis	(화합물이)다환식의, (식물의)윤생의
POLRI	인도네시아 경찰
POLRES	지역경찰
polusi, pencemaran	오염, 공해
polutan	오염 물질
polutif	오염의, 공해의
poma, poma-poma	전혀, 기어이
pomade	포마드, 머리 기름
pomologi	과수 재배학(기술)
pompa	펌프, 양수기, 흡수기
memompakan	펌프질 해주다, 펌프질 하게 하다
memompakan	펌프질 하다, 물을 퍼내다
pemompaan	펌프질
pompa bensin	주유소
pompaan	펌프로 퍼낸 것(물 따위)
pompang	대나무 악기의 일종(슬라웨시 지방)
pompon	방울술(옷·구두 따위의)
pompong [1]	꼴뚜기(오징어)의 무리
pompong [2], kepompong	(누에)고치, (나비의)번데기
pompong [3], kepompong	고통스러운, 혼란스러운, 괴로운
pompong [4], memompong	(아기·물건 따위를)옆구리로 업다
pon [1]	파운드 (약
pon [2]	넷째 장날
PON [3], Pekan Olahlaga Nasional	전국체전, 국민체육주간
ponakan, keponakan	조카, 질녀
ponco	판초(한 장의 천으로 된 외투용 우의)
pondamen [pondamén], fundamen	기본, 기초, 토대
pondar	신체가)작고 뚱뚱한
pondasi	(건물의)기초, 토대
ponderabilitas	무게가 있음, 일고의 가치가 있음
pondik, sombong, angkuh	교만한, 의시대는, 버릇없는
pondoh, umbut	(야자수의) 새싹, 잎
pondok(Pdk) [1]	작은집, 오두막, 가건물
pondok(Pdk) [2]	연립주택, 다가구 주택
pondok(Pdk) [3], pondok pesantren	(무슬림) 학교 기숙사
memondok	방을 잡다, 유숙하다
memondokkan	방을 잡아주다, 유숙시키다, 묵게하다
pemondokan	숙소, 숙박소
pondokan	하숙, 셋방 듦, 숙박소
pondok-pondok	원두막들
pondong [1], memondong	(아이나 사람을) 두 팔로 안고 가다, 안다
pendongan	안는(드는) 물건(아이)
pondong [2]	어린 식물들을 보호하기 위한 지붕(덮개)
berpondong	지붕을 사용하다
memondong	덮다, 덮어주다
memondongi	~을 덮어주다, ~에 덮다
ponem [poném], ponim, fonem	음소
pongah [1], sombong, angkuh	건방진, 오만한, 잘난 체하는
berpongah-pongah	허풍 떨다, 으시대다
kepongahan	오만, 거만, 건방짐
memongahkan	으시대다, 자만하다
pongah [2], bodoh, bebal, dungu	바보, 멍청이
dipongah	놀려대다, 바보로 만들다
memongahi	바보처럼 여기다, 속이다
pongang, si pongang	메아리, 반향, 산울림
ponggang	(마두라의) 가믈린 악기의 일종
ponggok [1]	꼬리가 짧은, 꼬리가 없는
ponggok [2]	무딘, 둔한
ponggok [3], terponggok	높이 쌓아 올리다, 주저앉다
pongkol	(식물의) 뿌리, 밑둥
pongus, busut	작은 언덕
poni [1]	조랑말, 작은 말
poni [2]	단발의 앞머리, 드리운 앞머리
berponi, potong poni	단발 머리로 만들다
ponil	사진(초상화) 틀
ponis, putusan hukum	(배심의) 표결, 판정
ponok	(낙타 따위의) 등의 혹, 육봉
ponor	(땅의) 배수구
pons	(카드 따위에) 구멍 뚫는 기계, 천공기
pontang-panting	흩어진, 널려 있는, 황급히 일어나다
berpontang-panting	엎어지듯 뛰다, 굴러 떨어지다
memontang-mantingkan	흩뜨리다, 내동댕이 치다
terpontang-panting	(놀라서)급히 달아나다
ponopol, memonopoli	독점하다, ~의 전매[독점]권을 얻다
ponten	성적, 점수, (경기의)득점
memonten	점수를 주다, 채점을 하다
ponten [pontén]	분수, 샘
pontoh, gelang besar	팔찌
ponton	기중기선, 큰 거룻배
jembatan ponton	부교(浮橋)
poo, minyak poo(permen)	박하유
pop [1]	대중적인
lagu-lagu pop	대중 가요
pop [2]	인형
popelin, kain popelin	포플린
popi, boneka	인형
popok [1]	(아기의) 기저귀, 월경대
popok [2], hantu, momok	유령, 귀신, 악령
popok [3]	여자 아이의 성기
popok [4], memopok	진흙 따위로 바르다, 붙이다
popor	(총의)개머리, 개머리판
memopor	개머리판으로 치다
Ia memopor kepala panjahat itu	(그는 그 악한의 머리를 개머리판으로 쳤다)
popularisasi	통속화, 대중화
popularitas, kepopuleran	대중성, 인기
populasi	인구, 주민 수, 집단, 개체군
populer, terkenal, termasyur	대중적인, 통속적인, 인기 있는
kepopuleran	인기, 인망, 유행
mempopulerkan	대중[통속]화하다, 보급시키다
populis	인민주의
pori-pori [1]	숙고하다, 곰곰이 생각하다
pori-pori [2]	털구멍, 기공(氣孔), 세공(細孔)
porter, pengantar barang	짐꾼
poros	축, 차축, 굴대
porselen	자기(磁器), 자기 제품
porsi	(음식의) 1인분
pos	우편, 우편물
kantor pos	우체국
mengeposkan	우송하다, 우편으로 보내다
pengeposan	우송
pesanan mulaui dengan pos	통신판매
pos ekspres	속달우편
pos kaket, bingkisan pos	소포우편
pos kilat khusus	등기속달우편
pos laut	선박우편
pos udara	항공우편
pos wesel	우편환, 우편대체
pos	초소, 맡은 자리, 아지트
pos polisi	경찰서(소)
mengepos	소굴(아지트)가 되다
	(그 악한들은 사창굴에 아지트를 정했다)
pos-posan	(군·경찰의)막사, 초소
pos	예산, 예산 항목
pose	(사진 찍을 때)포즈, 태도
berpose	포즈를 취하다
poser [posér], memposer	달걀을 물에 삶아 까다
posisi	위치, 장소, 지위, 신분
positif, positip	긍정적인, 올바른,확신하는
menpositifkan, memastikan	명백하게 하다, 확실하게 하다
kepositifan	명확성, 절대성
positivisme	실증주의, 실증철학
positron	양전자(陽電子)
positronium	포지트로늄(한 쌍의 전자와 양전자의 결합체)
poskar	우편 엽서, (특히) 그림 엽서
poso	직조기의 일부
posologi	약량학(藥量學)
pospor	인(燐), 질소족 원소의 하나
postar, suplir	공급자
postel [postél], Pos dan	Telekomunikasi우편·통신
poster	포스터, (큰) 전단(傳單), 광고 전단
posterior [postérior]	(위치가)뒤쪽의, 후부의, 원줄기에 가까운
postulat, anggapan dasar	(자명한 일로서) ~을 가정하다
postur, parawakan	자세, 몸가짐
pot	항아리, 단지, 독
pot bunga	화분, 화병, 침실용 변기
potater	음주자, 계속적으로 술에 빠지는 사람
potehi	(중국식) 인형극(그림자극)
potel	끊어지다, 깨지다
potlot	연필(석필도 포함), 샤프 펜슬
potensi	힘, 잠재력, 권력, 권위
potensi pengangkutan	수용능력
potong	자르다, 조각, 일부분, 덩어리
berpotonf-potongan	서로 자르다
berpotongan	모습(모양)을 갖춘, 줄어든, 내린
berpotong-potong	조각내다, 부수다
memotong, menggunting	자르다, 썰다, 베다, 깎다
memotongkan	잘라주다, ~으로 자르다
memotong-motong	~을 자르다, 해체하다, (국토 따위를) 분할하다
memperpotongkan	(임금, 급여를)감산, 감봉하다
pemotong	자르는[베는]사람, 절단기
pemotongan	해부, 절개, 절단
perpotongan	자르는 곳, 자르는 일
potong pajak	원천징수세
potongan	공제, 감소, 축소, 감퇴
potongan harga	할인액
potong-memotong	서로 자르다, (가지를)잘라내다
sepotong	(베어 낸) 한 조각
terpotong	잘린, 끊긴, 베어 진
potret, gambar, foto	사진, 포토
difoto	사진 찍히다
memotret	사진을 찍다, 촬영하다
pemfoto	사진사
pemotretan	사진술, 사진 촬영
potret diri	자화상
pora, pesta	축제
porah	낭비벽이 심한, 돈을 마구 쓰는
berporah-porah	(돈을)낭비하다
memorahkan	(유흥을 위하여) 돈을 물쓰듯 하다
porak-peranda, porak-parik	혼란한, 어수선한
memorak-perandakan	혼란하게 하다, 어수선하게 만들다
porak-poradan	어수선한, 무질서한, 너절한
Portugal	포르투갈, 수도:
PPH 21	갑근세, 종업원 급여 소득세
PPH 22	수입 시 과세금
PPH 23, 26	원천 징수세
PPH 25	법인세 예납
PPH 29	법인세 확정
PPN (Pajak Pertambahan Nilai)	부가가치세(VAT)
pra, sebelum	~이전의, ~전에, ~앞에
prabayar	후불제 (선불제
praanggapan	편견, 선입관
prabakti	청순, 때묻지 않은
prabu	왕의 호칭
keprabuan	왕국의 표시, 왕조의 표시
sang prabu	폐하
prada	금박지
pradama	사전 기부(기증)
pradesa [pradésa]	외딴지역, 예비 거주지
pradesain	첫 계획
pradini	때가 되지 않은, 시기 상조의
praduga	선입관, 편견
pragmatik	(문법)활용의, 국사의
pragmatika	(문법)어용론, 화용론
pragmatis	실제적인, 실용적인
pragmatisme	실용주의, 실용주의 철학, 간섭주의
prah	화물 자동차, 화물칸, 화물
prahara	대이변, 큰 재해, 대 실패, 파멸
prahoto penimbun	덤프 트럭
prai	자유로운, 빈, 공허한, 비어 있는
prairi	평원, 초원
praja	나라, 국가, 도시
prajaksa	검사 보좌관
prajurit	군인, 사병, 투쟁자, 영웅
keprajuritan	군사, 군대
prakala	시기 상조의, 때가 되지 않은
perakalasa	시작, 솔선, 선창, 선도
berperakalasa	(일을)시작하다, (사업을)착수하다
memprakarsai, memprakarsakan	시작하다, 개시하다, 창시하다
pemrakarasan	시도, 시작, 개척
pemrakarasi	시도자, 개척자
pemrakarsa	창시자, 수창자(首唱者), 발기인,
prakarsa	발의, 창시, 창의, 진취적 기상
prakarya	수공업(학교의) 공장, 육체노동
prakata	서문, 머리말
pra-kemerdekaan	독립 이전의
prakilang	조립식 집
prakira	예상, 예측, 예보
memperrakirakan	예상하다, 예측하다
pemprakiraan	예상, 예측, 예보
prakiraan	예상, 예측, 예보
prakondisi	우선 필요한 조건, 필수 조건
prakondsepsi [prakondsépsi]	선입관, 선입견
praksis	실행, 이행
praktek [prakték], praktik	실행, 실습, 실시, 실제, 실기
mempraktekkan	실행하다, 실지로 적용하다
praktek umum, kebiasaan	통례
praktikan	실용 강좌 수강생
praktikum	실용 강좌
peraktis	실제로, 실제로의
keperaktisan	실용주의, 실지적인
seprektis-praktisnya	가장 쉬운, 가장 용이한
praktisi	시행자, 이행자
pralahir	출생 전의, 출산이 임박한
pralambang	예언, 예보
prama	예비대학
pramadara	신입생, 초심자, 풋내기
prameswari	첫째 아내
premodern [premodérn]	미개의
pramugara, pramugari	(비행기)여승무원, 스튜어디스
kepramugaraan	승무, 탑승업무
Pramuka	인니 보이스카웃, 정찰(병)
Pramukawati	인니 걸스카웃
pramuniaga	(관청·회사 따위의) 사무원[관]
pramuniagawan	세일즈맨, 외판원
pramuniagawati	여자 세일즈맨, 여자 외판원
pramuria	나이트 클럽 여종업원(호스티스)
pramusaji	(식당의)종업원
pramusiwi	보모
premuwisata	관광 안내원
pramuwisma	가정부
pranata	제도, 법령, 관례
pranatal	크리스마스 전 의식, 출산 전의
prangas pringus	얼굴을 찡그리다
prangko	우표
prapatan	교차로, 사거리, 네거리
prapendapat	편견, 선입관
praperadilan	공판전의 절차
prapertunjukan	시연, 시사회
prapromosi	의사 예비(자격)시험
prapuber	미성년, 사춘기 직전
prapubertas	사춘기 직전의 시기, 청춘 전기
prapustaka	선사 시대의 문화
prarasa	선호, 편애
prarekam	(라디오·TV의)방송 전 녹음(녹화)
prasaja	수수한, 적당한
prasaran	지침서, 작업 지시서, 의견서
pemrasaran	기조 연설자, 지침서 판독자
prasarana, rangka dasar	(경제) 기반; 기초구조, 토대, 기간 시설
prasasti	명(銘), 비명(碑銘), 비문(碑文)
prasejara	유사 이전의, 선사시대의
prasejarah	(역)사학, 유래, 연혁, 변천, 발달사
prasekolah	유치원, 보육원
praseminar [praséminar]	예비(사전)세미나
prasetia, prasetya	강한 의지, 의향, 맹약
prasi	무대 그림, 그림첩, 삽화
prasmanan	뷔페 식의 음식
prastudi	예비 학습(연구)
prasyarat	전제가 되는, 전제조건, 미리 필요한
pratersier [pratérsiér]	신생대 전기 이전
pratinjau	예비 관찰
prawacana	서문, 머리말
praearsa	솔선, 선창, 시작, 발의
prawira	용감한, 강력한, 멋진
prayitna	지키다, 항상 지키다
pre [pré]	~이전의
preadvis [préadvis]	지침서
preambul [préambul]	서문, 서언
predasi [prédasi]	강탈, 약탈(행위)
predator [prédator]	포식 동물
predestinasi [prédestinasi]	예정, 숙명
predikat [prédikat]	(문법)술부, 술어, 경칭
predikatif [prédikatif]	(문법)서술적인
prediksi	예언(예보)하기
predisposisi [prédisposisi]	경향, 시질
preferensi [préferénsi]	특권, 우선권, 선택, 애호
prefiks [préfiks ]	(문법)접두사
prehistori [préhistori]	유사 이전의 역사, 선사
prei [préi]	휴가, 한가함, 자유
preliminer [préliminér]	예비의, 준비적인
prelude [prélude]	(음악의)전주곡, 전조, 서막
prem [prém], perem	플럼, 서양자두, 짙은 자색의
preman [1] [préman]	날강도, 협작꾼
preman [2] [préman]	개인, 사립, 민간, 사유
prematur	조숙한, 너무 이른, 때 아닌
premi [prémi]	할증금, 수수료, 사례금
premier [prémiér]	(영국·프랑스 등의) 수상
premium [1][prémium]	상, 상금, 보험료, 불입금
premium [2][prémium]	높은 품질
preposisi	(문법)전치사
presbiterium [présbitérium]	(기독교의)장로회
presbyopi	노안 (눈 질병)
preseden [présédén]	선례, 관례
presensi [présénsi], kehariran	참석, 참가
presentabel [préséntabel]	보기 흉하지 않은, 외모가 좋은
presentasi [préséntasi]	헌정, 증정, 발표, 소개, 공개
mempresenasikan	제시하다, 제기하다
preservasi [présérvasi]	pengawetan보전, 보호
presesi [présési], lenggok	섭동, 전진(세차)운동
presiden [présidén]	대통령, 의장
kepresidenan	대통령 관저
peresidenan	대통령의 직위
presidensial [présidénsial]	presdentil대통령의
pemerintahan presidensial	대통령제
presidium [présidium]	최고 회의 간부회
presiositas [présiositas]	까다로움, 깐깐함
presipitasi [présipitasi]	곤두박질치기, 거꾸로의 낙하
presisi [présisi]	명확함, 엄밀함
peraturan, preskripsi [préskripsi]	규정, 처방(전)
preskriptif [préskriptif]	규정하는, 시효에 의한
presmanan	졸업, 졸업식, 학위 수여식
prestasi [préstasi]	성취, 달성, 업적, 위업, 공로
berpresitasi	성취하다, 달성하다
prestasi akademis	학문의 성취
prestasi kerja	일(업무)의 성취
prestise [préstise]	명성, 신망, 위신
presto [présto]	(템포가) 매우 빠른
presumsi [présumsi], penguraian	추정, 가정
pretel [prétél], capot, rontok	(건물·배에서) 설비를[기구·장비·방비 등을] 제거하다dismantle,
mempreteli onderdil	(차량·기계 등에서) 쓸 부품을 떼 내다
pretensi [préténsi]	(암묵의)바람, 요구, 허세, 구실
berpretensi, berlagak	우쭐대다, 젠체하다
prevalensi [prévalénsi], kelazoman	널리 행해 짐, 보급, 유행
preventif [prévéntif]	예방적인, 방지적인, 방해하는
preview [préview]	(공연 따위의)예고편, 시사회, 예비조사
prewangan [préwangan]	정신 세계와의 관계
pria, peria	남성
priagung	고위층
priayi	중산층(공무원 따위의), 양반(층)
pribadi	사적인, 개인적인, 사생활
kepribadian	개인, 개체, 개성
kepribadian bangsa	국민성
mempribadikan	인격화하다, 인격을 부여하다
pempribadian	인격화, 구체화, 인격주의, 개체주의
pribumi	원주민, 본국인
prigel	솜씨 좋은, 숙련된, 노련한
keperigelan	숙련, 노련, 익숙함
prihatin	(사업의 실패 따위로)고통 스러운, 슬픈
berprihatin	슬픈, 고통스러운, 절제하다
keprihatinan	비애, 슬픔, 고통
memprihatinkan	슬프게 하다, 고통스럽게 하다
	(서민 생활은 매일 매일 깊은 슬픔으로 가득찼다)
prima, perutama	첫째의, 으뜸의, 최고의
primadona	(가극의)주역 여자수, 최고의 미인, 가장 중요한
primas	(가톨릭의) 대주교
primata	영장류의 동물
primbon, kitab ramalan	점성술 교본, 역서(曆書), 연감
primer [primér]	첫 번째의, 으뜸의
primitif, primitip	태고의, 옛날의, 구식의, 원시의
primogenetur [primogénétur]	장자 상속, 장자 상속권
primordial	(생물·기관의 발달에서)최초기에 형성되는, 근본적인
primpen	숨기는, 감추는, 눈에 뜨지 않는
pringas-pringis	(얼굴을) 찡그리다
pringgitan	응접실(현관)과 안방 사이의 방(대청)
prinsip	원리, 원칙, 주의, 방침
prioritas	우선권, 급선무, 우선 순의
prisma	프리즘, 분광기, 7가지 빛깔
pro	찬성하는
problem	문제, 의문
produk	생산품, 산출물, 결과
produksi	생산, 수출, 제조
produktif	생산적인, 다산의, 풍요한, 비옥한
produsen	생산자, 제작자
program	프로그램, 계획(표), 예정(표)
progresif	(부단히) 전진하는, 진보적
profesor	교수(대통령이 인정하는)
asisten profesor	조교수
proklamasi	선언, 표고, 선포
memproklamasikan	선언하다, 선포하다
proletar	프롤레타리아의, 무산 계급의
promisi	조장, 촉진
propaganda	선전, 선전방법(조직 등)
berpropaganda	선전하다, 포교하다, 전도하다
mempropagandakan	보급시키다, 선전하다, 전달하다, 선교 [전도]하다propagandize
propagandis	선전자(원)
propana	프로판(메탄계 탄화수소의 일종)
propelan [propélan]	추진제
propelar [propélar]	프로펠러, 추진기
properti	부동산, 자산
propinsi, provinsi	주(州), 성(省), 도(道)
propinsi kalimantan timur	서부깔리만탄주
prosa	산문, 산문체, 평범, 단조
proses [prosés]	진행, 과정, 공정
prosis	산문(체)의; 산문적인, 평범한, 단조로운
prosisi	행렬을 지어 나아가다, 줄지어 걷다
prosodi	형론, 운율학, 작시법
perspek [perspék]	조망(眺望), 전망, 예상, 기대
prostat, prostata	전립선(前立腺)
protein, proteina	단백질
protektorat	보호령, 보호국, 보호 제도
protes [protés]	항의하다, 항변, 이의 신청, 반대
memprotes	항의하다, 이의를 제기하다
memprotes dengan suara seru	(미사 여구를 써서) 변론하다, 연설하다
protes keras	(미사 여구를 써서) 변론하다,
protokol	(문서의) 원본, 프로토콜, 의정서(議定書)
protoplasma	[생물] 원형질
provisi	수수료
proyek [proyék]	계획, 입안, 구상
proyeksi [proyéksi]	사출(射出), 투사, 투영(법)
proyektor [proyéktor]	설계자, 계획자, 투광기(投光器)
psikiater, psikiatri	정신병학의, 정신병 치료의, 정신과의
psikoanalis	정신 분석가[학자], 정신 분석 전문의(醫)
psikoanalisa	정신 분석(학[법])
psikolingustik	언어 심리학
psikolog	심리학적으로 고찰[해석·설명]하다
psikologi	심리학(상)의, 심리학적인, 정신적인
PT (Perseroan Terbatas}	주식회사, 유한책임 회사
PTIK (Program Tinggi Ilmu	Kepolisian)경찰 대학
PTIP (Perguruan Tinggi dan Ilmu	Pengetahuan)대학 학문 담당부
PTM (Persekutuan Tanah Melayu)	말레이 연방 공화국
PTP (Pos, Telekomunikasi (dan)	Pariwisata)우편, 전기통신 및 사업
PTT (Pos, Telegrap dan Telpon)	우편, 전신 및 전화
PU [Pejabat Utama]	고등 공무원
PU [Pembantu Utama]	사무총장
PU [Pekerjaan Umum]	공공사업
puad	마음, 생각, 느낌
puadau	카펫, 융단, 돗자리
puah [1]	[감탄사] 저런!, 쳇!
puah [2]	축복, 은총
puak	무리, 집단, 정당, 종족
berpuak-puak	무리를 지어, 집단으로
puaka	유령, 산신령, 도깨비
berpuaka	유령이 출몰하는, 신성한, 요술의
puaka air	물귀신
puaka tanah	땅귀신
pual [1], kain pual	보일(무명·양털·명주로 만든 반 투명의 엷은 피륙)voile
pual [2]	(물이)솟다, 끓어 오르다, (연기가)피어 오르다
berpual-pual	(연기 따위가) 모락모락 피어 오르다, 머리가 아프다
pual [3], olakan	소용돌이, 회오리바람
pualam, marmar	대리석
puan [1], cerana	(금,은으로 만든) 빈랑 담는 접시
puan [2]	여자, (호칭으로)부인, 여사
puan [3], kelapa	여자
puan [4]	우유 원액
puar	(열대 아시아 산) 생강과 식물의 일종
puas, lega	흡족한, 뿌듯한
	(정해진 시간에 내 일이 끝나서 나는 흡족하다)
Lega lasanya setelah minum ES	(얼음을 먹고 나면 흡족하다)
berpuas diri	흡족(만족)하게 느끼다
kepuasan	만족(감), 만족(시킴), 희열, 욕구 충족
kepuasan diri	불평하다, 우는 소리하다, 한탄하다
kepuasan materi	(물질 만족으로)정신적으로 즐거움
kepuasan, pemuasan	만족, 즐거움, 안심
ketidakpuasan	불만(족), 불평, (욕구) 불만
memuasi	만족시키다, 충족시키다
memuaskan	요구를 채우다, [신학] 속죄의
	(그의 금년 시험 결과는 만족했다)
	(부와 사치는 그의 마음을 즐겁게 해 줄 수 없다)
puas sekali	매우 만족함
rasa tak puas	흡족하지 못한 느낌
sepuas-puasnya	만족할 때 까지
tak memuaskan	마음에 안 차는, 만족[탐탁]스럽지 않은
puasa, berpuasa	금식(하다)
publik, public	공중, 대중, 민중, 사회
publikasi, pengumuman	공포, 발표, 발행, 출판
mempublikasikan	공포하다, 출판하다
pemublikasian	공포, 출간
publisis	발표자, 공표자, 아나운서
publisitas	주지(周知)(의 상태), 명성, 평판
publisistik	신문(잡지)학
pucat	윤기[핏기] 없는(얼굴 따위), 핼쑥한, 창백한
kepucatan	(얼굴이) 핼쑥한, 창백한, (빛이) 어슴푸레한
kepucat-pucat	창백한 듯한
memucat	창백해지다
pemucatan	빛이 바래서 하얗게 됨
pucat kesi, pucat lesi	매우 창백한, 핏기가 없는
pucik	그물 막대
pucuk [1]	(나무의)어린 이파리
berpucuk	싹이 트다, 발아하다
mati pucuk	단산
pucuk serai	말갈기
pucuk [2]	[수량사](편지·무기 등의)~통, ~정, ~자루
pucuk surat	편지 한통
	(이번 주에 그는 3통의 편지를 받았다)
	(총 2정이 응접실에 걸려 있다)
pucuk [3]	꼭대기, 정상, 고위
pucuk bulat	고위권력층
pucuk jala	그물의 한가운데(중심)
pucuk ombak	파도머리
pucuk [4]	약재로 쓰는 말린 나무 뿌리
pucung [1]	왜가리
pucung [2]	나무의 일종
pucung [3]	5행시의 작문 형식
pudar	창백한, 핏기 없는, 희미한
memudar	창백해지다, 희미해 지다, 색깔이 날다
memudarkan	흐리게 하다, 침침하게 만들다
pudat	넘치는, 넘치도록 가득한, 가득 찬
pudel	푸들(개의 일종)
puder	가루, 분, 화약
pudi, intan pudi	보석 알맹이
memudikan	(보석을)갈다, 작은 알맹이로 만들다
puding [1]	파두(巴豆)의 일종(완화제)
puding [2]	푸딩(밀가루에 우유·달걀·과일·설탕·향료를 넣고 찐[구운], 식후에 먹는 과자)pudding
pudur	꺼진, 소화된, (화산 따위가)더 이상 터지지 않는
memudur	꺼지다, 지워지다, (화산 따위가)죽다
memuduri	(불이)꺼지다, (욕망이)없어지다, 사라지다
memudurkan	끄다, 소멸시키다
puerperium [puérpérium]	산욕(분만 및 그 직후의 산부의 상태)
pugak, berpugak-pugak	열중하다, 몰두하다
pugar [1], memugar	회복시키다, 개선시키다
memugari	회복시키다, 복귀시키다, 수리하다
memugarkan	복귀시켜 주다, 수리해 주다
pemugar	복구자, 수리자
pemugaran	회복, 복귀, 복구, 수선, 수리
pugar [2], memugar	열심히 하다, 열중하다, 몰두하다
pugas, memugas	(완벽하게 하기 위하여)더하다, 추가하다
pemugasan	추가, 완성
pugasan	추가, 완성
puguh, tentu, pasti	확실한, 필경, 확정된, 고정된
puih, lapuk	썩은, 부패한
puing	잡석(雜石), 깨진 기와[벽돌] 조각
berpuing-puing	산산 조각이 나다
memuingkan	산산 조각으로 만들다
puing-puing	부스러기, 파편(의 더미)
puisi	시, 시가, 운문
berpuisi	시를 낭송하다
pemuisian	(산문의)시화(詩化)
puitis	시의, 시적인, 시인(기질)의
puitisasi	시화(詩化)
puja	숭배, 찬양, 경배
memuja	경배하다, 찬양하다
memuja-muja	숭배하다, 추앙하다
pemuja	숭배자, 찬양자, 열애가(熱愛家)
pemujaan	예배당, 찬양하는 곳, 찬양, 예배, 경배
pujaan	경배, 예배
Anakku pujaan hatiku!	내 사랑하는 새끼!
pujangga	문인, 문학자, 어학자, 시인
kepujanggaan	문학의, 문학상의, 문학에 관한
